time,logger,level,database,message,exception
2015-10-30 10:30:15.0666,Raven.Database.DocumentDatabase,Debug,<system>,Start loading the following database: <system>,
2015-10-30 10:30:16.4252,Raven.Database.Impl.DocumentCacher,Info,<system>,"MemoryCache Settings:
  PhysicalMemoryLimit = 99
  CacheMemoryLimit    = 3220176896
  PollingInterval     = 00:02:00",
2015-10-30 10:30:16.5072,Raven.Database.Storage.Esent.StorageConfigurator,Info,<system>,"Esent Settings:
  MaxVerPages      = 16384
  CacheSizeMax     = 262144
  DatabasePageSize = 4096",
2015-10-30 10:30:16.5072,Raven.Storage.Esent.TransactionalStorage,Info,<system>,"Esent Settings:
  MaxVerPages      = 16384
  CacheSizeMax     = 262144
  DatabasePageSize = 4096",
2015-10-30 10:30:18.7635,Raven.Database.Storage.Esent.StorageActions.DocumentStorageActions,Debug,<system>,Document with key 'Raven/Backup/Status' was not found,
2015-10-30 10:30:18.9475,Raven.Database.DocumentDatabase,Debug,,Finish loading the following database: <system>,
2015-10-30 10:30:18.9636,Raven.Database.Storage.Esent.StorageActions.DocumentStorageActions,Debug,,Document with key 'Raven/Counters/Enabled' was not found,
2015-10-30 10:30:18.9775,Raven.Database.Storage.Esent.StorageActions.DocumentStorageActions,Debug,,Document with key 'Raven/Authorization/WindowsSettings' was not found,
2015-10-30 10:30:19.0035,Raven.Database.Indexing.WorkContext,Debug,<system>,"No work was found, workerWorkCounter: 0, for: ReducingExecuter, will wait for additional work",
2015-10-30 10:30:19.0175,Raven.Database.Indexing.WorkContext,Debug,<system>,"No work was found, workerWorkCounter: 0, for: IndexingExecuter, will wait for additional work",
2015-10-30 10:30:48.5232,Raven.Database.Impl.DTC.InFlightTransactionalState,Info,<system>,Performing Transactions Cleanup Sequence for db <system>,
2015-10-30 10:31:18.5256,Raven.Database.Impl.DTC.InFlightTransactionalState,Info,<system>,Performing Transactions Cleanup Sequence for db <system>,
2015-10-30 10:31:48.5280,Raven.Database.Impl.DTC.InFlightTransactionalState,Info,<system>,Performing Transactions Cleanup Sequence for db <system>,
2015-10-30 10:32:16.7691,Raven.Database.Server.WebApi.RequestManager,Debug,<system>,Request #  23: GET     -   433 ms -            - 200 - http://localhost:8080/singleAuthToken,
2015-10-30 10:32:16.8011,Raven.Database.Server.WebApi.RequestManager,Debug,<system>,Request #  24: GET     -   423 ms -            - 200 - http://localhost:8080/studio-tasks/server-configs,
2015-10-30 10:32:16.8111,Raven.Database.Server.WebApi.RequestManager,Debug,<system>,Request #  25: GET     -   423 ms -            - 200 - http://localhost:8080/databases?pageSize=1024&getAdditionalData=true,
2015-10-30 10:32:16.8111,Raven.Database.Server.WebApi.RequestManager,Debug,<system>,Request #  26: GET     -   424 ms -            - 200 - http://localhost:8080/fs?pageSize=1024&getAdditionalData=true,
2015-10-30 10:32:17.0810,Raven.Database.Server.WebApi.RequestManager,Debug,<system>,Request #  29: GET     -    61 ms -            - 200 - http://localhost:8080/license/status,
2015-10-30 10:32:17.0900,Raven.Database.Storage.Esent.StorageActions.DocumentStorageActions,Debug,<system>,Document with key 'Raven/Alerts' was not found,
2015-10-30 10:32:17.0900,Raven.Database.Server.WebApi.RequestManager,Debug,<system>,Request #  30: GET     -    20 ms -            - 200 - http://localhost:8080/operation/alerts,
2015-10-30 10:32:17.2510,Raven.Database.Storage.Esent.StorageActions.DocumentStorageActions,Debug,<system>,Document with key 'Raven/StudioConfig' was not found,
2015-10-30 10:32:17.2570,Raven.Database.Storage.Esent.StorageActions.DocumentStorageActions,Debug,<system>,Document with key 'Raven/Alerts' was not found,
2015-10-30 10:32:17.2929,Raven.Database.Server.WebApi.RequestManager,Debug,<system>,Request #  33: POST    -   301 ms -            - 200 - http://localhost:8080/queries,
2015-10-30 10:32:17.2929,Raven.Database.Server.WebApi.RequestManager,Debug,<system>,Request #  34: POST    -   236 ms -            - 200 - http://localhost:8080/queries,
2015-10-30 10:32:17.2929,Raven.Database.Server.WebApi.RequestManager,Debug,<system>,	Raven/Alerts,
2015-10-30 10:32:17.2929,Raven.Database.Server.WebApi.RequestManager,Debug,<system>,	Raven/StudioConfig,
2015-10-30 10:32:17.3539,Raven.Database.Server.WebApi.RequestManager,Debug,<system>,Request #  35: GET     -    40 ms -            - 200 - http://localhost:8080/build/version,
2015-10-30 10:32:17.4379,Raven.Database.Server.WebApi.RequestManager,Debug,<system>,Request #  36: GET     -   156 ms -            - 200 - http://localhost:8080/debug/plugins,
2015-10-30 10:32:17.4859,Raven.Database.Server.WebApi.RequestManager,Debug,<system>,Request #  37: GET     -    92 ms -            - 200 - http://localhost:8080/changes/config?id=kieVH&command=watch-prefix&value=Raven%2FFileSystems%2F,
2015-10-30 10:32:17.5079,Raven.Database.Server.WebApi.RequestManager,Debug,<system>,Request #  38: GET     -    63 ms -            - 200 - http://localhost:8080/changes/config?id=kieVH&command=watch-prefix&value=Raven%2FCounters%2F,
2015-10-30 10:32:17.5079,Raven.Database.Server.WebApi.RequestManager,Debug,<system>,Request #  39: GET     -   124 ms -            - 200 - http://localhost:8080/changes/config?id=kieVH&command=watch-prefix&value=Raven%2FDatabases%2F,
2015-10-30 10:32:17.5249,Raven.Database.Server.WebApi.RequestManager,Debug,<system>,Request #  40: GET     -     0 ms -            - 200 - http://localhost:8080/changes/config?id=kieVH&command=watch-prefix&value=Raven%2FStudioConfig,
2015-10-30 10:32:17.5499,Raven.Database.Server.WebApi.RequestManager,Debug,<system>,Request #  41: GET     -     0 ms -            - 200 - http://localhost:8080/changes/config?id=kieVH&command=watch-prefix&value=Raven%2FAlerts,
2015-10-30 10:32:17.7918,Raven.Database.Server.WebApi.RequestManager,Debug,<system>,Request #  42: GET     -   489 ms -            - 200 - http://localhost:8080/debug/config,
2015-10-30 10:32:17.8088,Raven.Database.Server.WebApi.RequestManager,Debug,<system>,Request #  43: GET     -     7 ms -            - 200 - http://localhost:8080/debug/config,
2015-10-30 10:32:17.9588,Raven.Database.Server.WebApi.RequestManager,Debug,<system>,Request #  44: GET     -   392 ms -            - 200 - http://localhost:8080/studio-tasks/latest-server-build-version?stableOnly=true&min=3000&max=3999,
2015-10-30 10:32:18.5206,Raven.Database.Impl.DTC.InFlightTransactionalState,Info,<system>,Performing Transactions Cleanup Sequence for db <system>,
2015-10-30 10:32:21.2899,Raven.Database.Server.WebApi.RequestManager,Debug,<system>,"Request #  45: GET     - 3,929 ms -            - 200 - http://localhost:8080/stats",
2015-10-30 10:32:21.2899,Raven.Database.Server.WebApi.RequestManager,Debug,<system>,Request #  46: GET     -     1 ms -            - 200 - http://localhost:8080/stats,
2015-10-30 10:32:38.5499,Raven.Database.Storage.Esent.StorageActions.DocumentStorageActions,Debug,<system>,Document with key 'Raven/Databases/USASMVC' was not found,
2015-10-30 10:32:38.9768,Raven.Database.Storage.Esent.StorageActions.DocumentStorageActions,Debug,<system>,Document with key 'Raven/Databases/USASMVC' was not found,
2015-10-30 10:32:39.0647,Raven.Database.Storage.Esent.StorageActions.DocumentStorageActions,Debug,<system>,"Inserted a new document with key 'Raven/Databases/USASMVC', update: False, ",
2015-10-30 10:32:39.1388,Raven.Database.Server.Tenancy.AbstractLandlord`1,Info,<system>,Shutting down database USASMVC because the tenant database has been updated or removed,
2015-10-30 10:32:39.1597,Raven.Database.Indexing.WorkContext,Debug,<system>,Incremented work counter to 1 because: PUT Raven/Databases/USASMVC,
2015-10-30 10:32:39.1597,Raven.Database.DocumentDatabase,Debug,<system>,Put document Raven/Databases/USASMVC with etag 01000000-0000-0001-0000-000000000001,
2015-10-30 10:32:39.1597,Raven.Database.Server.WebApi.RequestManager,Debug,<system>,Request #  48: PUT     -   643 ms -            - 200 - http://localhost:8080/admin/databases/USASMVC,
2015-10-30 10:32:39.1597,Raven.Database.Indexing.WorkContext,Debug,<system>,"No work was found, workerWorkCounter: 1, for: ReducingExecuter, will wait for additional work",
2015-10-30 10:32:39.1597,Raven.Database.Indexing.WorkContext,Debug,<system>,"No work was found, workerWorkCounter: 1, for: IndexingExecuter, will wait for additional work",
2015-10-30 10:32:40.2724,Raven.Database.Storage.Esent.StorageActions.DocumentStorageActions,Debug,<system>,"Document with key 'Raven/Databases/USASMVC' was found, etag: 01000000-0000-0001-0000-000000000001",
2015-10-30 10:32:40.2724,Raven.Database.Storage.Esent.StorageActions.DocumentStorageActions,Debug,,"Document with key 'Raven/Databases/USASMVC' was found, etag: 01000000-0000-0001-0000-000000000001",
2015-10-30 10:32:40.3869,Raven.Database.Server.WebApi.RequestManager,Debug,<system>,Request #  49: GET     -   133 ms -            - 200 - http://localhost:8080/docs/Raven/Databases/USASMVC,
2015-10-30 10:32:40.4244,Raven.Database.DocumentDatabase,Debug,USASMVC,Start loading the following database: USASMVC,
2015-10-30 10:32:40.4434,Raven.Database.Impl.DocumentCacher,Info,USASMVC,"MemoryCache Settings:
  PhysicalMemoryLimit = 99
  CacheMemoryLimit    = 3220176896
  PollingInterval     = 00:02:00",
2015-10-30 10:32:40.4434,Raven.Database.Storage.Esent.StorageConfigurator,Info,USASMVC,"Esent Settings:
  MaxVerPages      = 16384
  CacheSizeMax     = 262144
  DatabasePageSize = 4096",
2015-10-30 10:32:40.4434,Raven.Storage.Esent.TransactionalStorage,Info,USASMVC,"Esent Settings:
  MaxVerPages      = 16384
  CacheSizeMax     = 262144
  DatabasePageSize = 4096",
2015-10-30 10:32:41.0322,Raven.Database.Storage.Esent.StorageActions.DocumentStorageActions,Debug,USASMVC,Document with key 'Raven/Backup/Status' was not found,
2015-10-30 10:32:41.0322,Raven.Database.DocumentDatabase,Debug,,Finish loading the following database: USASMVC,
2015-10-30 10:32:41.0322,Raven.Database.Indexing.WorkContext,Debug,USASMVC,"No work was found, workerWorkCounter: 0, for: IndexingExecuter, will wait for additional work",
2015-10-30 10:32:41.0322,Raven.Database.Indexing.WorkContext,Debug,USASMVC,"No work was found, workerWorkCounter: 0, for: ReducingExecuter, will wait for additional work",
2015-10-30 10:32:41.2461,Raven.Database.Storage.Esent.StorageActions.DocumentStorageActions,Debug,USASMVC,Document with key 'IndexId1' was not found,
2015-10-30 10:32:45.6659,Raven.Database.Storage.IndexDefinitionStorage,Info,USASMVC,"New index Raven/DocumentsByEntityName:
using Raven.Abstractions;
using Raven.Database.Linq;
using System.Linq;
using System.Collections.Generic;
using System.Collections;
using System;
using Raven.Database.Linq.PrivateExtensions;
using Lucene.Net.Documents;
using System.Globalization;
using System.Text.RegularExpressions;
using Raven.Database.Indexing;

public class Index_Raven_DocumentsByEntityName : Raven.Database.Linq.AbstractViewGenerator
{
	public Index_Raven_DocumentsByEntityName()
	{
		this.ViewText = @""from doc in docs 
select new 
{ 
	Tag = doc[""""@metadata""""][""""Raven-Entity-Name""""], 
	LastModified = (DateTime)doc[""""@metadata""""][""""Last-Modified""""],
	LastModifiedTicks = ((DateTime)doc[""""@metadata""""][""""Last-Modified""""]).Ticks 
};"";
		this.AddMapDefinition(docs => 
			from doc in ((IEnumerable<dynamic>)docs)
			select new {
				Tag = doc[""@metadata""][""Raven-Entity-Name""],
				LastModified = (DateTime)doc[""@metadata""][""Last-Modified""],
				LastModifiedTicks = ((DateTime)doc[""@metadata""][""Last-Modified""]).Ticks,
				__document_id = doc.__document_id
			});
		this.AddField(""Tag"");
		this.AddField(""LastModified"");
		this.AddField(""LastModifiedTicks"");
		this.AddField(""__document_id"");
		this.AddQueryParameterForMap(""Ticks"");
		this.AddQueryParameterForMap(""__document_id"");
		this.AddQueryParameterForReduce(""Ticks"");
		this.AddQueryParameterForReduce(""__document_id"");
	}
}

Compiled to:
using Raven.Abstractions;
using Raven.Database.Linq;
using System.Linq;
using System.Collections.Generic;
using System.Collections;
using System;
using Raven.Database.Linq.PrivateExtensions;
using Lucene.Net.Documents;
using System.Globalization;
using System.Text.RegularExpressions;
using Raven.Database.Indexing;

public class Index_Raven_DocumentsByEntityName : Raven.Database.Linq.AbstractViewGenerator
{
	public Index_Raven_DocumentsByEntityName()
	{
		this.ViewText = @""from doc in docs 
select new 
{ 
	Tag = doc[""""@metadata""""][""""Raven-Entity-Name""""], 
	LastModified = (DateTime)doc[""""@metadata""""][""""Last-Modified""""],
	LastModifiedTicks = ((DateTime)doc[""""@metadata""""][""""Last-Modified""""]).Ticks 
};"";
		this.AddMapDefinition(docs => 
			from doc in ((IEnumerable<dynamic>)docs)
			select new {
				Tag = doc[""@metadata""][""Raven-Entity-Name""],
				LastModified = (DateTime)doc[""@metadata""][""Last-Modified""],
				LastModifiedTicks = ((DateTime)doc[""@metadata""][""Last-Modified""]).Ticks,
				__document_id = doc.__document_id
			});
		this.AddField(""Tag"");
		this.AddField(""LastModified"");
		this.AddField(""LastModifiedTicks"");
		this.AddField(""__document_id"");
		this.AddQueryParameterForMap(""Ticks"");
		this.AddQueryParameterForMap(""__document_id"");
		this.AddQueryParameterForReduce(""Ticks"");
		this.AddQueryParameterForReduce(""__document_id"");
	}
}
",
2015-10-30 10:32:45.9398,Raven.Database.Indexing.IndexStorage,Debug,USASMVC,Creating index 1 with id Raven/DocumentsByEntityName,
2015-10-30 10:32:46.6306,Raven.Database.Indexing.Index.Indexing,Debug,USASMVC,Creating index for Raven/DocumentsByEntityName,
2015-10-30 10:32:46.6955,Raven.Database.Indexing.WorkContext,Debug,USASMVC,Incremented work counter to 1 because: PUT INDEX Raven/DocumentsByEntityName,
2015-10-30 10:32:46.7015,Raven.Database.Indexing.WorkContext,Debug,USASMVC,"No work was found, workerWorkCounter: 1, for: ReducingExecuter, will wait for additional work",
2015-10-30 10:32:46.7375,Raven.Database.Indexing.WorkContext,Debug,USASMVC,"No work was found, workerWorkCounter: 1, for: IndexingExecuter, will wait for additional work",
2015-10-30 10:32:46.7555,Raven.Database.Storage.Esent.StorageActions.DocumentStorageActions,Debug,USASMVC,Document with key 'Raven/StudioConfig' was not found,
2015-10-30 10:32:46.7555,Raven.Database.Storage.Esent.StorageActions.DocumentStorageActions,Debug,USASMVC,Document with key 'Raven/StudioConfig' was not found,
2015-10-30 10:32:46.7555,Raven.Database.Server.WebApi.RequestManager,Debug,USASMVC,Request #  51: GET     -     6 ms - USASMVC    - 404 - http://localhost:8080/databases/USASMVC/studio-tasks/config,
2015-10-30 10:32:46.7555,Raven.Database.Server.WebApi.RequestManager,Debug,USASMVC,Request #  52: GET     -     1 ms - USASMVC    - 200 - http://localhost:8080/databases/USASMVC/singleAuthToken,
2015-10-30 10:32:46.8285,Raven.Database.Server.WebApi.RequestManager,Debug,USASMVC,Request #  53: GET     -    78 ms - USASMVC    - 200 - http://localhost:8080/databases/USASMVC/stats,
2015-10-30 10:32:46.8405,Raven.Database.Server.WebApi.RequestManager,Debug,USASMVC,Request #  54: GET     -     3 ms - USASMVC    - 200 - http://localhost:8080/databases/USASMVC/changes/config?id=vNPjO&command=watch-docs,
2015-10-30 10:32:46.8405,Raven.Database.Server.WebApi.RequestManager,Debug,USASMVC,Request #  55: GET     -     1 ms - USASMVC    - 200 - http://localhost:8080/databases/USASMVC/stats,
2015-10-30 10:32:46.8405,Raven.Database.Server.WebApi.RequestManager,Debug,USASMVC,Request #  56: GET     -     0 ms - USASMVC    - 200 - http://localhost:8080/databases/USASMVC/changes/config?id=vNPjO&command=watch-indexes,
2015-10-30 10:32:46.8585,Raven.Database.Server.WebApi.RequestManager,Debug,USASMVC,Request #  57: GET     -    15 ms - USASMVC    - 200 - http://localhost:8080/databases/USASMVC/changes/config?id=vNPjO&command=watch-bulk-operation,
2015-10-30 10:32:48.5270,Raven.Database.Impl.DTC.InFlightTransactionalState,Info,<system>,Performing Transactions Cleanup Sequence for db <system>,
2015-10-30 10:33:11.0215,Raven.Database.Impl.DTC.InFlightTransactionalState,Info,USASMVC,Performing Transactions Cleanup Sequence for db USASMVC,
2015-10-30 10:33:18.5194,Raven.Database.Impl.DTC.InFlightTransactionalState,Info,<system>,Performing Transactions Cleanup Sequence for db <system>,
2015-10-30 10:33:41.0141,Raven.Database.Impl.DTC.InFlightTransactionalState,Info,USASMVC,Performing Transactions Cleanup Sequence for db USASMVC,
2015-10-30 10:33:48.5119,Raven.Database.Impl.DTC.InFlightTransactionalState,Info,<system>,Performing Transactions Cleanup Sequence for db <system>,
2015-10-30 10:34:11.0236,Raven.Database.Impl.DTC.InFlightTransactionalState,Info,USASMVC,Performing Transactions Cleanup Sequence for db USASMVC,
2015-10-30 10:34:18.5044,Raven.Database.Impl.DTC.InFlightTransactionalState,Info,<system>,Performing Transactions Cleanup Sequence for db <system>,
2015-10-30 10:34:41.0261,Raven.Database.Impl.DTC.InFlightTransactionalState,Info,USASMVC,Performing Transactions Cleanup Sequence for db USASMVC,
2015-10-30 10:34:48.4969,Raven.Database.Impl.DTC.InFlightTransactionalState,Info,<system>,Performing Transactions Cleanup Sequence for db <system>,
2015-10-30 10:35:11.0185,Raven.Database.Impl.DTC.InFlightTransactionalState,Info,USASMVC,Performing Transactions Cleanup Sequence for db USASMVC,
2015-10-30 10:35:18.5042,Raven.Database.Impl.DTC.InFlightTransactionalState,Info,<system>,Performing Transactions Cleanup Sequence for db <system>,
2015-10-30 10:35:41.0258,Raven.Database.Impl.DTC.InFlightTransactionalState,Info,USASMVC,Performing Transactions Cleanup Sequence for db USASMVC,
2015-10-30 10:35:48.4966,Raven.Database.Impl.DTC.InFlightTransactionalState,Info,<system>,Performing Transactions Cleanup Sequence for db <system>,
2015-10-30 10:36:11.0182,Raven.Database.Impl.DTC.InFlightTransactionalState,Info,USASMVC,Performing Transactions Cleanup Sequence for db USASMVC,
2015-10-30 10:36:18.5031,Raven.Database.Impl.DTC.InFlightTransactionalState,Info,<system>,Performing Transactions Cleanup Sequence for db <system>,
2015-10-30 10:36:41.0227,Raven.Database.Impl.DTC.InFlightTransactionalState,Info,USASMVC,Performing Transactions Cleanup Sequence for db USASMVC,
2015-10-30 10:36:48.5075,Raven.Database.Impl.DTC.InFlightTransactionalState,Info,<system>,Performing Transactions Cleanup Sequence for db <system>,
2015-10-30 10:37:11.0160,Raven.Database.Impl.DTC.InFlightTransactionalState,Info,USASMVC,Performing Transactions Cleanup Sequence for db USASMVC,
2015-10-30 10:37:18.4989,Raven.Database.Impl.DTC.InFlightTransactionalState,Info,<system>,Performing Transactions Cleanup Sequence for db <system>,
2015-10-30 10:37:41.0086,Raven.Database.Impl.DTC.InFlightTransactionalState,Info,USASMVC,Performing Transactions Cleanup Sequence for db USASMVC,
2015-10-30 10:37:48.5035,Raven.Database.Impl.DTC.InFlightTransactionalState,Info,<system>,Performing Transactions Cleanup Sequence for db <system>,
2015-10-30 10:38:11.0143,Raven.Database.Impl.DTC.InFlightTransactionalState,Info,USASMVC,Performing Transactions Cleanup Sequence for db USASMVC,
2015-10-30 10:38:18.4960,Raven.Database.Impl.DTC.InFlightTransactionalState,Info,<system>,Performing Transactions Cleanup Sequence for db <system>,
2015-10-30 10:38:41.0068,Raven.Database.Impl.DTC.InFlightTransactionalState,Info,USASMVC,Performing Transactions Cleanup Sequence for db USASMVC,
2015-10-30 10:38:48.4886,Raven.Database.Impl.DTC.InFlightTransactionalState,Info,<system>,Performing Transactions Cleanup Sequence for db <system>,
2015-10-30 10:39:11.0132,Raven.Database.Impl.DTC.InFlightTransactionalState,Info,USASMVC,Performing Transactions Cleanup Sequence for db USASMVC,
2015-10-30 10:39:18.4810,Raven.Database.Impl.DTC.InFlightTransactionalState,Info,<system>,Performing Transactions Cleanup Sequence for db <system>,
2015-10-30 10:39:41.0056,Raven.Database.Impl.DTC.InFlightTransactionalState,Info,USASMVC,Performing Transactions Cleanup Sequence for db USASMVC,
2015-10-30 10:39:48.4738,Raven.Database.Impl.DTC.InFlightTransactionalState,Info,<system>,Performing Transactions Cleanup Sequence for db <system>,
2015-10-30 10:40:11.0111,Raven.Database.Impl.DTC.InFlightTransactionalState,Info,USASMVC,Performing Transactions Cleanup Sequence for db USASMVC,
2015-10-30 10:40:18.4771,Raven.Database.Impl.DTC.InFlightTransactionalState,Info,<system>,Performing Transactions Cleanup Sequence for db <system>,
2015-10-30 10:40:41.0196,Raven.Database.Impl.DTC.InFlightTransactionalState,Info,USASMVC,Performing Transactions Cleanup Sequence for db USASMVC,
2015-10-30 10:40:48.4695,Raven.Database.Impl.DTC.InFlightTransactionalState,Info,<system>,Performing Transactions Cleanup Sequence for db <system>,
2015-10-30 10:41:11.0112,Raven.Database.Impl.DTC.InFlightTransactionalState,Info,USASMVC,Performing Transactions Cleanup Sequence for db USASMVC,
2015-10-30 10:41:18.4630,Raven.Database.Impl.DTC.InFlightTransactionalState,Info,<system>,Performing Transactions Cleanup Sequence for db <system>,
2015-10-30 10:41:41.0168,Raven.Database.Impl.DTC.InFlightTransactionalState,Info,USASMVC,Performing Transactions Cleanup Sequence for db USASMVC,
2015-10-30 10:41:48.4676,Raven.Database.Impl.DTC.InFlightTransactionalState,Info,<system>,Performing Transactions Cleanup Sequence for db <system>,
2015-10-30 10:42:11.0090,Raven.Database.Impl.DTC.InFlightTransactionalState,Info,USASMVC,Performing Transactions Cleanup Sequence for db USASMVC,
2015-10-30 10:42:18.4588,Raven.Database.Impl.DTC.InFlightTransactionalState,Info,<system>,Performing Transactions Cleanup Sequence for db <system>,
2015-10-30 10:42:38.9949,Raven.Database.Indexing.WorkContext,Debug,<system>,"No work was found, workerWorkCounter: 1, for: ReducingExecuter, will wait for additional work",
2015-10-30 10:42:38.9949,Raven.Database.Indexing.WorkContext,Debug,<system>,"No work was found, workerWorkCounter: 1, for: IndexingExecuter, will wait for additional work",
2015-10-30 10:42:41.0023,Raven.Database.Impl.DTC.InFlightTransactionalState,Info,USASMVC,Performing Transactions Cleanup Sequence for db USASMVC,
2015-10-30 10:42:46.5438,Raven.Database.Indexing.WorkContext,Debug,USASMVC,"No work was found, workerWorkCounter: 1, for: ReducingExecuter, will wait for additional work",
2015-10-30 10:42:46.5677,Raven.Database.Indexing.WorkContext,Debug,USASMVC,"No work was found, workerWorkCounter: 1, for: IndexingExecuter, will wait for additional work",
2015-10-30 10:42:48.4512,Raven.Database.Impl.DTC.InFlightTransactionalState,Info,<system>,Performing Transactions Cleanup Sequence for db <system>,
2015-10-30 10:43:10.9927,Raven.Database.Impl.DTC.InFlightTransactionalState,Info,USASMVC,Performing Transactions Cleanup Sequence for db USASMVC,
2015-10-30 10:43:18.4436,Raven.Database.Impl.DTC.InFlightTransactionalState,Info,<system>,Performing Transactions Cleanup Sequence for db <system>,
2015-10-30 10:43:40.9854,Raven.Database.Impl.DTC.InFlightTransactionalState,Info,USASMVC,Performing Transactions Cleanup Sequence for db USASMVC,
2015-10-30 10:43:48.4482,Raven.Database.Impl.DTC.InFlightTransactionalState,Info,<system>,Performing Transactions Cleanup Sequence for db <system>,
2015-10-30 10:44:10.9928,Raven.Database.Impl.DTC.InFlightTransactionalState,Info,USASMVC,Performing Transactions Cleanup Sequence for db USASMVC,
2015-10-30 10:44:18.4407,Raven.Database.Impl.DTC.InFlightTransactionalState,Info,<system>,Performing Transactions Cleanup Sequence for db <system>,
2015-10-30 10:44:41.0005,Raven.Database.Impl.DTC.InFlightTransactionalState,Info,USASMVC,Performing Transactions Cleanup Sequence for db USASMVC,
2015-10-30 10:44:48.4334,Raven.Database.Impl.DTC.InFlightTransactionalState,Info,<system>,Performing Transactions Cleanup Sequence for db <system>,
2015-10-30 10:45:11.0049,Raven.Database.Impl.DTC.InFlightTransactionalState,Info,USASMVC,Performing Transactions Cleanup Sequence for db USASMVC,
2015-10-30 10:45:18.4255,Raven.Database.Impl.DTC.InFlightTransactionalState,Info,<system>,Performing Transactions Cleanup Sequence for db <system>,
2015-10-30 10:45:40.9991,Raven.Database.Impl.DTC.InFlightTransactionalState,Info,USASMVC,Performing Transactions Cleanup Sequence for db USASMVC,
2015-10-30 10:45:48.4299,Raven.Database.Impl.DTC.InFlightTransactionalState,Info,<system>,Performing Transactions Cleanup Sequence for db <system>,
2015-10-30 10:46:11.0036,Raven.Database.Impl.DTC.InFlightTransactionalState,Info,USASMVC,Performing Transactions Cleanup Sequence for db USASMVC,
2015-10-30 10:46:18.4222,Raven.Database.Impl.DTC.InFlightTransactionalState,Info,<system>,Performing Transactions Cleanup Sequence for db <system>,
2015-10-30 10:46:40.9950,Raven.Database.Impl.DTC.InFlightTransactionalState,Info,USASMVC,Performing Transactions Cleanup Sequence for db USASMVC,
2015-10-30 10:46:48.4149,Raven.Database.Impl.DTC.InFlightTransactionalState,Info,<system>,Performing Transactions Cleanup Sequence for db <system>,
2015-10-30 10:47:11.0006,Raven.Database.Impl.DTC.InFlightTransactionalState,Info,USASMVC,Performing Transactions Cleanup Sequence for db USASMVC,
2015-10-30 10:47:18.4234,Raven.Database.Impl.DTC.InFlightTransactionalState,Info,<system>,Performing Transactions Cleanup Sequence for db <system>,
2015-10-30 10:47:40.9931,Raven.Database.Impl.DTC.InFlightTransactionalState,Info,USASMVC,Performing Transactions Cleanup Sequence for db USASMVC,
2015-10-30 10:47:48.4300,Raven.Database.Impl.DTC.InFlightTransactionalState,Info,<system>,Performing Transactions Cleanup Sequence for db <system>,
2015-10-30 10:48:10.9865,Raven.Database.Impl.DTC.InFlightTransactionalState,Info,USASMVC,Performing Transactions Cleanup Sequence for db USASMVC,
2015-10-30 10:48:18.4345,Raven.Database.Impl.DTC.InFlightTransactionalState,Info,<system>,Performing Transactions Cleanup Sequence for db <system>,
2015-10-30 10:48:19.1833,Raven.Database.DocumentDatabase,Debug,,Start shutdown the following database: USASMVC,
2015-10-30 10:48:19.2602,Raven.Database.Indexing.WorkContext,Debug,,Stopping background workers,
2015-10-30 10:48:19.5251,Raven.Database.DocumentDatabase,Debug,,Finished shutdown the following database: USASMVC,
2015-10-30 10:48:48.4270,Raven.Database.Impl.DTC.InFlightTransactionalState,Info,<system>,Performing Transactions Cleanup Sequence for db <system>,
2015-10-30 10:49:18.4194,Raven.Database.Impl.DTC.InFlightTransactionalState,Info,<system>,Performing Transactions Cleanup Sequence for db <system>,
2015-10-30 10:49:48.4138,Raven.Database.Impl.DTC.InFlightTransactionalState,Info,<system>,Performing Transactions Cleanup Sequence for db <system>,
2015-10-30 10:50:18.4171,Raven.Database.Impl.DTC.InFlightTransactionalState,Info,<system>,Performing Transactions Cleanup Sequence for db <system>,
2015-10-30 10:50:48.4097,Raven.Database.Impl.DTC.InFlightTransactionalState,Info,<system>,Performing Transactions Cleanup Sequence for db <system>,
2015-10-30 10:51:18.4152,Raven.Database.Impl.DTC.InFlightTransactionalState,Info,<system>,Performing Transactions Cleanup Sequence for db <system>,
2015-10-30 10:51:48.4079,Raven.Database.Impl.DTC.InFlightTransactionalState,Info,<system>,Performing Transactions Cleanup Sequence for db <system>,
2015-10-30 10:52:18.4142,Raven.Database.Impl.DTC.InFlightTransactionalState,Info,<system>,Performing Transactions Cleanup Sequence for db <system>,
2015-10-30 10:52:38.8246,Raven.Database.Indexing.WorkContext,Debug,<system>,"No work was found, workerWorkCounter: 1, for: ReducingExecuter, will wait for additional work",
2015-10-30 10:52:38.8246,Raven.Database.Indexing.WorkContext,Debug,<system>,"No work was found, workerWorkCounter: 1, for: IndexingExecuter, will wait for additional work",
2015-10-30 10:52:48.4088,Raven.Database.Impl.DTC.InFlightTransactionalState,Info,<system>,Performing Transactions Cleanup Sequence for db <system>,
2015-10-30 10:53:18.4124,Raven.Database.Impl.DTC.InFlightTransactionalState,Info,<system>,Performing Transactions Cleanup Sequence for db <system>,
2015-10-30 10:53:48.4049,Raven.Database.Impl.DTC.InFlightTransactionalState,Info,<system>,Performing Transactions Cleanup Sequence for db <system>,
2015-10-30 10:54:18.3974,Raven.Database.Impl.DTC.InFlightTransactionalState,Info,<system>,Performing Transactions Cleanup Sequence for db <system>,
